2.7881 	WARNING 	Movie2 stim could not be imported and won't be available
174.3610 	DATA 	Keypress: t
174.5616 	DATA 	Keypress: t
174.6953 	DATA 	Keypress: t
174.9627 	DATA 	Keypress: t
175.0964 	DATA 	Keypress: t
175.2967 	DATA 	Keypress: t
175.9320 	DATA 	Keypress: t
176.0998 	DATA 	Keypress: t
176.2995 	DATA 	Keypress: t
176.4667 	DATA 	Keypress: t
176.6673 	DATA 	Keypress: t
176.8344 	DATA 	Keypress: t
177.0014 	DATA 	Keypress: t
177.1684 	DATA 	Keypress: t
177.3357 	DATA 	Keypress: t
177.5361 	DATA 	Keypress: t
177.7368 	DATA 	Keypress: t
177.9038 	DATA 	Keypress: t
178.1044 	DATA 	Keypress: t
178.3048 	DATA 	Keypress: t
178.4719 	DATA 	Keypress: t
178.7060 	DATA 	Keypress: t
178.9399 	DATA 	Keypress: t
179.1071 	DATA 	Keypress: t
179.3076 	DATA 	Keypress: t
179.5082 	DATA 	Keypress: t
179.7087 	DATA 	Keypress: t
179.8759 	DATA 	Keypress: t
180.1098 	DATA 	Keypress: t
180.3102 	DATA 	Keypress: t
186.3264 	DATA 	Keypress: v
186.4601 	DATA 	Keypress: v
186.6279 	DATA 	Keypress: v
186.7943 	DATA 	Keypress: v
193.7797 	DATA 	Keypress: v
193.9802 	DATA 	Keypress: v
194.1138 	DATA 	Keypress: v
194.3144 	DATA 	Keypress: v
194.4816 	DATA 	Keypress: v
194.6152 	DATA 	Keypress: v
194.7823 	DATA 	Keypress: v
194.9494 	DATA 	Keypress: v
195.1166 	DATA 	Keypress: v
195.2837 	DATA 	Keypress: v
195.4508 	DATA 	Keypress: v
195.6179 	DATA 	Keypress: v
195.8184 	DATA 	Keypress: v
196.0189 	DATA 	Keypress: v
196.1861 	DATA 	Keypress: v
196.3867 	DATA 	Keypress: v
196.5536 	DATA 	Keypress: v
196.7209 	DATA 	Keypress: v
196.9214 	DATA 	Keypress: v
197.1553 	DATA 	Keypress: v
197.4561 	DATA 	Keypress: v
197.7243 	DATA 	Keypress: v
197.9574 	DATA 	Keypress: v
198.1581 	DATA 	Keypress: v
198.3586 	DATA 	Keypress: v
198.5590 	DATA 	Keypress: v
198.7596 	DATA 	Keypress: v
198.9268 	DATA 	Keypress: v
199.1608 	DATA 	Keypress: v
199.3612 	DATA 	Keypress: v
199.5618 	DATA 	Keypress: v
199.7623 	DATA 	Keypress: v
199.9629 	DATA 	Keypress: v
200.1634 	DATA 	Keypress: v
200.3640 	DATA 	Keypress: v
200.5311 	DATA 	Keypress: v
200.7316 	DATA 	Keypress: v
200.8987 	DATA 	Keypress: v
201.1327 	DATA 	Keypress: v
201.3332 	DATA 	Keypress: v
201.5671 	DATA 	Keypress: v
201.7677 	DATA 	Keypress: v
201.9683 	DATA 	Keypress: v
202.2021 	DATA 	Keypress: v
202.4027 	DATA 	Keypress: v
202.6368 	DATA 	Keypress: v
202.9041 	DATA 	Keypress: v
203.0712 	DATA 	Keypress: v
203.8066 	DATA 	Keypress: v
213.0645 	DATA 	Keypress: t
213.2985 	DATA 	Keypress: t
213.4990 	DATA 	Keypress: t
214.0004 	DATA 	Keypress: t
214.1675 	DATA 	Keypress: t
214.3680 	DATA 	Keypress: t
214.5017 	DATA 	Keypress: t
214.6689 	DATA 	Keypress: t
214.9027 	DATA 	Keypress: t
215.0365 	DATA 	Keypress: t
215.2369 	DATA 	Keypress: t
215.4040 	DATA 	Keypress: t
215.6380 	DATA 	Keypress: t
215.9389 	DATA 	Keypress: t
216.1394 	DATA 	Keypress: t
216.3066 	DATA 	Keypress: t
216.5072 	DATA 	Keypress: t
216.6742 	DATA 	Keypress: t
216.8413 	DATA 	Keypress: t
217.0753 	DATA 	Keypress: t
217.2424 	DATA 	Keypress: t
217.4763 	DATA 	Keypress: t
217.7103 	DATA 	Keypress: t
217.9108 	DATA 	Keypress: t
218.1114 	DATA 	Keypress: t
218.3119 	DATA 	Keypress: t
218.5123 	DATA 	Keypress: t
218.7465 	DATA 	Keypress: t
218.9135 	DATA 	Keypress: t
219.1141 	DATA 	Keypress: t
219.3481 	DATA 	Keypress: t
219.5485 	DATA 	Keypress: t
219.7165 	DATA 	Keypress: t
220.0833 	DATA 	Keypress: t
220.3508 	DATA 	Keypress: t
220.5177 	DATA 	Keypress: t
220.7852 	DATA 	Keypress: t
220.9858 	DATA 	Keypress: t
221.2197 	DATA 	Keypress: t
221.4203 	DATA 	Keypress: t
221.6208 	DATA 	Keypress: t
221.9884 	DATA 	Keypress: t
222.1223 	DATA 	Keypress: t
222.3561 	DATA 	Keypress: t
222.5900 	DATA 	Keypress: t
222.8575 	DATA 	Keypress: t
223.0245 	DATA 	Keypress: t
223.2584 	DATA 	Keypress: t
223.7264 	DATA 	Keypress: t
223.8935 	DATA 	Keypress: t
224.0941 	DATA 	Keypress: t
239.5020 	DATA 	Keypress: t
239.7359 	DATA 	Keypress: t
239.9030 	DATA 	Keypress: t
240.1036 	DATA 	Keypress: t
240.2707 	DATA 	Keypress: t
240.6384 	DATA 	Keypress: t
240.8722 	DATA 	Keypress: t
241.1061 	DATA 	Keypress: t
241.3401 	DATA 	Keypress: t
241.5407 	DATA 	Keypress: t
241.8750 	DATA 	Keypress: t
242.2760 	DATA 	Keypress: t
242.5433 	DATA 	Keypress: t
242.7441 	DATA 	Keypress: t
242.9445 	DATA 	Keypress: t
243.2119 	DATA 	Keypress: t
243.4458 	DATA 	Keypress: t
243.7801 	DATA 	Keypress: t
244.0474 	DATA 	Keypress: t
244.2813 	DATA 	Keypress: t
244.4485 	DATA 	Keypress: t
244.7159 	DATA 	Keypress: t
244.8829 	DATA 	Keypress: t
245.1169 	DATA 	Keypress: t
245.2841 	DATA 	Keypress: t
245.4854 	DATA 	Keypress: t
245.7186 	DATA 	Keypress: t
245.8531 	DATA 	Keypress: t
246.0528 	DATA 	Keypress: t
246.3536 	DATA 	Keypress: t
246.5875 	DATA 	Keypress: t
246.7880 	DATA 	Keypress: t
246.9552 	DATA 	Keypress: t
247.1557 	DATA 	Keypress: t
247.3228 	DATA 	Keypress: t
247.5903 	DATA 	Keypress: t
247.8242 	DATA 	Keypress: t
247.9913 	DATA 	Keypress: t
248.1920 	DATA 	Keypress: t
248.4258 	DATA 	Keypress: t
248.6262 	DATA 	Keypress: t
248.7935 	DATA 	Keypress: t
248.9940 	DATA 	Keypress: t
249.1946 	DATA 	Keypress: t
249.4284 	DATA 	Keypress: t
249.5956 	DATA 	Keypress: t
249.8296 	DATA 	Keypress: t
250.0300 	DATA 	Keypress: t
250.3309 	DATA 	Keypress: t
250.7320 	DATA 	Keypress: t
250.8991 	DATA 	Keypress: t
251.1330 	DATA 	Keypress: t
251.3001 	DATA 	Keypress: t
251.5007 	DATA 	Keypress: t
251.7681 	DATA 	Keypress: t
251.9352 	DATA 	Keypress: t
252.1691 	DATA 	Keypress: t
252.3362 	DATA 	Keypress: t
