3.4570 	WARNING 	Movie2 stim could not be imported and won't be available
209.5191 	DATA 	Keypress: t
209.7197 	DATA 	Keypress: t
210.5217 	DATA 	Keypress: t
210.7892 	DATA 	Keypress: t
210.9896 	DATA 	Keypress: t
211.5579 	DATA 	Keypress: t
211.7584 	DATA 	Keypress: t
212.2598 	DATA 	Keypress: t
212.4938 	DATA 	Keypress: t
212.6944 	DATA 	Keypress: t
212.9616 	DATA 	Keypress: t
213.1956 	DATA 	Keypress: t
213.3962 	DATA 	Keypress: t
214.5667 	DATA 	Keypress: t
214.7998 	DATA 	Keypress: t
215.0004 	DATA 	Keypress: t
215.2010 	DATA 	Keypress: t
215.4684 	DATA 	Keypress: t
215.6355 	DATA 	Keypress: t
215.8360 	DATA 	Keypress: t
216.0365 	DATA 	Keypress: t
216.2371 	DATA 	Keypress: t
223.0220 	DATA 	Keypress: t
229.0379 	DATA 	Keypress: t
229.2385 	DATA 	Keypress: t
229.4390 	DATA 	Keypress: t
229.6062 	DATA 	Keypress: t
229.7732 	DATA 	Keypress: t
230.0073 	DATA 	Keypress: t
230.3080 	DATA 	Keypress: t
230.5755 	DATA 	Keypress: t
230.7760 	DATA 	Keypress: t
230.9765 	DATA 	Keypress: t
231.2105 	DATA 	Keypress: t
231.5448 	DATA 	Keypress: t
231.7452 	DATA 	Keypress: t
231.9123 	DATA 	Keypress: t
232.1463 	DATA 	Keypress: t
232.3801 	DATA 	Keypress: t
232.6141 	DATA 	Keypress: t
232.8482 	DATA 	Keypress: t
233.1490 	DATA 	Keypress: t
233.3829 	DATA 	Keypress: t
233.5834 	DATA 	Keypress: t
233.8174 	DATA 	Keypress: t
234.0514 	DATA 	Keypress: t
234.2854 	DATA 	Keypress: t
234.5193 	DATA 	Keypress: t
234.7533 	DATA 	Keypress: t
235.0207 	DATA 	Keypress: t
235.2212 	DATA 	Keypress: t
235.4552 	DATA 	Keypress: t
235.6229 	DATA 	Keypress: t
235.8562 	DATA 	Keypress: t
236.1236 	DATA 	Keypress: t
236.3576 	DATA 	Keypress: t
236.5581 	DATA 	Keypress: t
236.7586 	DATA 	Keypress: t
236.9590 	DATA 	Keypress: t
237.1596 	DATA 	Keypress: t
237.3936 	DATA 	Keypress: t
237.6275 	DATA 	Keypress: t
238.0287 	DATA 	Keypress: t
238.2291 	DATA 	Keypress: t
238.4966 	DATA 	Keypress: t
238.6971 	DATA 	Keypress: t
239.4993 	DATA 	Keypress: t
239.6999 	DATA 	Keypress: t
252.0662 	DATA 	Keypress: t
252.3336 	DATA 	Keypress: t
252.5007 	DATA 	Keypress: t
252.7012 	DATA 	Keypress: t
252.9687 	DATA 	Keypress: t
253.1358 	DATA 	Keypress: t
253.4031 	DATA 	Keypress: t
253.6037 	DATA 	Keypress: t
253.8376 	DATA 	Keypress: t
254.0715 	DATA 	Keypress: t
254.3056 	DATA 	Keypress: t
254.5061 	DATA 	Keypress: t
254.7401 	DATA 	Keypress: t
255.0409 	DATA 	Keypress: t
255.2749 	DATA 	Keypress: t
255.5088 	DATA 	Keypress: t
255.7428 	DATA 	Keypress: t
255.9432 	DATA 	Keypress: t
256.1439 	DATA 	Keypress: t
256.3778 	DATA 	Keypress: t
256.5783 	DATA 	Keypress: t
256.7789 	DATA 	Keypress: t
256.9793 	DATA 	Keypress: t
257.1800 	DATA 	Keypress: t
257.4474 	DATA 	Keypress: t
257.6479 	DATA 	Keypress: t
257.8816 	DATA 	Keypress: t
258.1833 	DATA 	Keypress: t
258.7842 	DATA 	Keypress: t
259.0516 	DATA 	Keypress: t
259.9205 	DATA 	Keypress: t
260.1545 	DATA 	Keypress: t
260.6559 	DATA 	Keypress: t
260.8898 	DATA 	Keypress: t
261.1238 	DATA 	Keypress: t
261.3243 	DATA 	Keypress: t
261.5583 	DATA 	Keypress: t
261.7589 	DATA 	Keypress: t
261.9928 	DATA 	Keypress: t
262.1934 	DATA 	Keypress: t
262.4272 	DATA 	Keypress: t
262.6612 	DATA 	Keypress: t
262.8617 	DATA 	Keypress: t
263.2294 	DATA 	Keypress: t
263.4634 	DATA 	Keypress: t
265.3685 	DATA 	Keypress: t
278.6392 	DATA 	Keypress: 4
279.7300 	DATA 	Keypress: return
279.7302 	DATA 	RatingScale teddy_rating: (key response) rating=4
279.7303 	DATA 	RatingScale teddy_rating: rating RT=4.354
279.7303 	DATA 	RatingScale teddy_rating: history=[(None, 0.0), (4, 3.263), (4, 4.354)]
280.5444 	DATA 	Keypress: 6
281.3175 	DATA 	Keypress: return
281.3178 	DATA 	RatingScale MM_rating: (key response) rating=6
281.3179 	DATA 	RatingScale MM_rating: rating RT=1.580
281.3180 	DATA 	RatingScale MM_rating: history=[(None, 0.0), (6, 0.806), (6, 1.579)]
282.5998 	DATA 	Keypress: 4
283.2730 	DATA 	Keypress: return
283.2732 	DATA 	RatingScale BBQ_rating: (key response) rating=4
283.2733 	DATA 	RatingScale BBQ_rating: rating RT=1.947
283.2733 	DATA 	RatingScale BBQ_rating: history=[(None, 0.0), (4, 1.274), (4, 1.947)]
284.5887 	DATA 	Keypress: 2
285.2281 	DATA 	Keypress: return
285.2284 	DATA 	RatingScale Hunger_rating: (key response) rating=2
285.2285 	DATA 	RatingScale Hunger_rating: rating RT=1.947
285.2285 	DATA 	RatingScale Hunger_rating: history=[(None, 0.0), (2, 1.308), (2, 1.947)]
294.6468 	DATA 	Keypress: escape
